Week Ending,Provider State,Residents Total Admissions COVID-19,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,COVID-19 Point-of-Care Tests Performed on Residents Since Last Report,COVID-19 Point-of-Care Tests Performed on Staff and/or Personnel Since Last Report,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths,Number of Ventilators in Facility,Number of Ventilators in Use for COVID-19,"Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents",Total Residents COVID-19 Deaths as a Percentage of Confirmed COVID-19 Cases
2020-05-31,NC,328.0,1424.0,1041.0,1685.0,347.0,44733.0,33008.0,0.0,0.0,779.0,848.0,3.0,91.0,0.0,19389.600000000002,5259.5,4176.700000000001
2020-05-31,ND,14.0,114.0,76.0,417.0,35.0,5757.0,4758.0,0.0,0.0,198.0,469.0,0.0,0.0,0.0,1281.1000000000001,376.09999999999997,389.59999999999997
2020-05-31,NE,77.0,304.0,351.0,594.0,82.0,14462.0,10121.0,0.0,0.0,235.0,743.0,0.0,29.0,0.0,6269.500000000001,1643.2,422.90000000000003
2020-05-31,NH,86.0,655.0,474.0,536.0,143.0,7331.0,5824.0,0.0,0.0,297.0,472.0,1.0,15.0,0.0,8273.199999999999,2148.0,527.3
2020-05-31,NJ,3184.0,10908.0,2953.0,5250.0,3243.0,50501.0,32676.0,0.0,0.0,5551.0,1638.0,66.0,388.0,29.0,115924.50000000001,37094.60000000001,15654.899999999996
2020-05-31,NM,109.0,222.0,88.0,309.0,74.0,6526.0,4700.0,0.0,0.0,171.0,32.0,1.0,0.0,0.0,4476.8,1648.2,347.50000000000006
2020-05-31,NV,234.0,490.0,559.0,220.0,99.0,6723.0,4760.0,0.0,0.0,364.0,396.0,1.0,202.0,36.0,6819.4,1897.5999999999997,336.5
2020-05-31,NY,5516.0,9449.0,5428.0,7750.0,3910.0,106537.0,83089.0,0.0,0.0,7342.0,2884.0,45.0,1634.0,294.0,67855.6,26821.399999999998,32518.000000000015
2020-05-31,OH,918.0,3131.0,1748.0,3893.0,959.0,84492.0,64932.0,0.0,0.0,1649.0,1415.0,13.0,472.0,39.0,51852.59999999998,16803.6,8435.500000000002
2020-05-31,OK,132.0,353.0,198.0,478.0,79.0,26225.0,15738.0,0.0,0.0,251.0,302.0,0.0,35.0,0.0,14294.199999999999,2890.0,482.4
2020-05-31,OR,102.0,100.0,277.0,286.0,26.0,9198.0,6466.0,0.0,0.0,66.0,254.0,0.0,6.0,0.0,1771.4,553.5,119.5
2020-05-31,PA,2235.0,8449.0,4701.0,8309.0,2518.0,84670.0,64238.0,0.0,0.0,3609.0,2860.0,12.0,320.0,48.0,90782.6,29377.500000000004,10566.300000000005
2020-05-31,PR,0.0,0.0,0.0,0.0,0.0,141.0,47.0,0.0,0.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0
2020-05-31,RI,218.0,1371.0,395.0,719.0,438.0,8395.0,6110.0,0.0,0.0,702.0,211.0,2.0,15.0,0.0,19094.300000000003,6078.5,1524.7000000000003
2020-05-31,SC,224.0,996.0,616.0,1086.0,190.0,19582.0,15828.0,0.0,0.0,586.0,599.0,4.0,22.0,0.0,13365.499999999998,2838.4,867.6
2020-05-31,SD,32.0,24.0,148.0,206.0,23.0,6508.0,5343.0,0.0,0.0,99.0,331.0,0.0,5.0,4.0,286.40000000000003,187.8,334.3
2020-05-31,TN,208.0,454.0,600.0,1852.0,98.0,35495.0,24498.0,0.0,0.0,338.0,639.0,0.0,188.0,42.0,5511.6,1227.6,862.1
2020-05-31,TX,443.0,2265.0,1319.0,2769.0,381.0,125209.0,77686.0,0.0,0.0,1342.0,1114.0,3.0,362.0,101.0,37252.099999999984,6637.3,4427.300000000001
2020-05-31,UT,79.0,89.0,86.0,83.0,14.0,7357.0,4973.0,0.0,0.0,102.0,179.0,0.0,146.0,0.0,1988.2000000000003,340.3,266.7
2020-05-31,VA,470.0,1456.0,1260.0,1240.0,369.0,31476.0,24158.0,0.0,0.0,862.0,1163.0,3.0,127.0,31.0,20711.299999999996,5807.599999999999,3322.1
2020-05-31,VT,8.0,96.0,172.0,221.0,31.0,2938.0,2172.0,0.0,0.0,62.0,176.0,0.0,9.0,0.0,1537.0,488.9,63.599999999999994
2020-05-31,WA,291.0,794.0,585.0,671.0,235.0,18724.0,13259.0,0.0,0.0,488.0,587.0,0.0,153.0,29.0,14496.199999999995,4438.0,2620.0000000000005
2020-05-31,WI,226.0,654.0,705.0,1348.0,111.0,27705.0,19656.0,0.0,0.0,431.0,1307.0,0.0,120.0,8.0,11999.6,2243.7,1092.6000000000001
2020-05-31,WV,27.0,222.0,156.0,686.0,40.0,10504.0,8726.0,0.0,0.0,160.0,149.0,0.0,0.0,0.0,3510.5999999999995,632.6,102.1
